cluster_id,cluster_name,connected_date,month,resource,avg_hourly_cost,avg_daily_cost,avg_monthly_cost
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2024-12,Storage,0.0000,0.0000,0.00
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2025-01,CPU,0.0223,0.5345,16.57
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2025-01,RAM,0.0027,0.0653,2.03
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2025-01,Storage,0.0000,0.0000,0.00
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2025-02,CPU,0.0079,0.1888,5.29
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2025-02,RAM,0.0010,0.0244,0.68
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2025-02,Storage,0.0000,0.0000,0.00
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2025-03,CPU,0.0076,0.1834,5.68
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2025-03,RAM,0.0010,0.0230,0.71
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2025-03,Storage,0.0000,0.0000,0.00
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2024-12,CPU,0.0178,0.4276,13.26
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2024-12,RAM,0.0023,0.0550,1.71
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2024-12,Storage,0.0000,0.0000,0.00
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2025-01,CPU,0.0214,0.5132,15.91
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2025-01,RAM,0.0026,0.0621,1.92
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2025-01,Storage,0.0000,0.0000,0.00
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2025-02,CPU,0.0077,0.1857,5.20
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2025-02,RAM,0.0010,0.0240,0.67
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2025-02,Storage,0.0000,0.0000,0.00
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2025-03,CPU,0.0077,0.1849,5.73
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2025-03,RAM,0.0010,0.0236,0.73
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,2024-12-23,2025-03,Storage,0.0000,0.0000,0.00
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2024-12,CPU,0.0153,0.3673,11.39
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2024-12,RAM,0.0020,0.0480,1.49
